0 , 2.38903 , 2.38847 , 
20 , 1.13667 , 1.21859 , 
40 , 1.12726 , 1.10627 , 
60 , 1.07349 , 1.04358 , 
80 , 1.10427 , 1.02892 , 
100 , 1.00375 , 0.995248 , 
120 , 1.04213 , 0.98086 , 
140 , 1.05959 , 0.96871 , 
160 , 0.908718 , 0.967636 , 
180 , 0.965702 , 0.93484 , 
200 , 0.888406 , 0.923687 , 
220 , 0.821546 , 0.916036 , 
240 , 0.947521 , 0.896485 , 
260 , 0.91489 , 0.890198 , 
280 , 0.699179 , 0.884882 , 
300 , 0.902768 , 0.87322 , 
320 , 0.893627 , 0.867377 , 
340 , 0.809346 , 0.849894 , 
360 , 0.940829 , 0.853424 , 
380 , 0.893625 , 0.836051 , 
400 , 0.860694 , 0.837534 , 
420 , 0.92488 , 0.840027 , 
440 , 0.834341 , 0.828867 , 
460 , 0.795945 , 0.808779 , 
480 , 0.823234 , 0.803427 , 
500 , 0.881926 , 0.805057 , 
520 , 0.897221 , 0.802975 , 
540 , 0.855636 , 0.797325 , 
560 , 0.826457 , 0.77745 , 
580 , 0.842936 , 0.772792 , 
600 , 0.845498 , 0.762604 , 
620 , 0.725019 , 0.76545 , 
640 , 0.805124 , 0.755763 , 
660 , 0.788839 , 0.748408 , 
680 , 0.72886 , 0.746093 , 
700 , 0.81521 , 0.761362 , 
720 , 0.683295 , 0.736181 , 
740 , 0.769145 , 0.740122 , 
760 , 0.75905 , 0.73336 , 
780 , 0.776815 , 0.733754 , 
800 , 0.791191 , 0.742575 , 
820 , 0.661845 , 0.71656 , 
840 , 0.801696 , 0.711753 , 
860 , 0.706871 , 0.720134 , 
880 , 0.77231 , 0.703001 , 
900 , 0.757262 , 0.703297 , 
920 , 0.748696 , 0.703752 , 
940 , 0.698232 , 0.689737 , 
960 , 0.551827 , 0.709279 , 
980 , 0.743701 , 0.699557 , 
1000 , 0.656931 , 0.695507 , 
1020 , 0.617292 , 0.683214 , 
1040 , 0.81668 , 0.695694 , 
1060 , 0.790475 , 0.707181 , 
1080 , 0.687657 , 0.683303 , 
1100 , 0.703756 , 0.673167 , 
1120 , 0.545068 , 0.680772 , 
1140 , 0.706494 , 0.678963 , 
1160 , 0.755895 , 0.65889 , 
1180 , 0.660121 , 0.671767 , 
1200 , 0.635521 , 0.658147 , 
1220 , 0.572442 , 0.671746 , 
1240 , 0.792617 , 0.657228 , 
1260 , 0.576892 , 0.651875 , 
1280 , 0.583922 , 0.643718 , 
1300 , 0.619582 , 0.647199 , 
1320 , 0.664728 , 0.63796 , 
1340 , 0.675073 , 0.635469 , 
1360 , 0.517289 , 0.641321 , 
1380 , 0.714286 , 0.640255 , 
1400 , 0.594023 , 0.634017 , 
1420 , 0.662809 , 0.629284 , 
1440 , 0.569716 , 0.632196 , 
1460 , 0.647316 , 0.640491 , 
1480 , 0.663215 , 0.627458 , 
1500 , 0.491036 , 0.625354 , 
1520 , 0.531764 , 0.617836 , 
1540 , 0.677119 , 0.622692 , 
1560 , 0.781873 , 0.607063 , 
1580 , 0.592603 , 0.63428 , 
1600 , 0.583909 , 0.617001 , 
1620 , 0.570127 , 0.602783 , 
1640 , 0.537598 , 0.637105 , 
1660 , 0.452216 , 0.605883 , 
1680 , 0.506069 , 0.599605 , 
1700 , 0.504565 , 0.594806 , 
1720 , 0.494419 , 0.607696 , 
1740 , 0.596365 , 0.603449 , 
1760 , 0.505023 , 0.593523 , 
1780 , 0.572652 , 0.618039 , 
1800 , 0.599321 , 0.596075 , 
1820 , 0.514627 , 0.588328 , 
1840 , 0.577886 , 0.587475 , 
1860 , 0.48801 , 0.589725 , 
